,brand_name,item_name,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv
22,Coco's Bakery,Gardenburger,150.0,140.17090909090908,4.0,1.5,0.0,0.025,0.76,22.0,3.0,1.0,8.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
23,Mimi's Cafe,Mimi's Croissant Sandwich with Slow-Smoked Ham,870.0,470.0,52.0,26.0,0.5,0.49,2.57,59.0,5.0,18.0,41.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
24,Nanoosh,BabaNanoosh,159.0,140.17090909090908,11.0,2.0,0.173015873015873,0.0,0.375,12.0,2.6653846153846152,0.0,4.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
25,Panago Pizza,Tropical Chicken - Gluten-smart,220.0,70.0,7.0,3.0,0.0,0.04976527777777778,0.43,31.0,1.0,5.0,11.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
26,Samuel Mancino's Italian Eatery,"Beef Patty Crumbles, FC w 15% TVP - 12"" Pizza",25.0,15.0,2.0,0.0,0.173015873015873,0.004,0.09,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
27,Donatos,Founders Favorite Pizza - Large Thin Signature,660.0,300.0,34.0,15.0,0.0,0.115,2.35,51.0,4.0,6.0,37.0,20.0,35.0,45.0,25.0
28,Golden Edibles,Triple Marshmallows on a Stick - (Dark Chocolate),240.0,90.0,10.0,6.0,0.0,0.0,0.025,35.0,2.0,30.0,2.0,0.0,0.0,0.0,20.0
29,Houlihan's,Kamikaze Brownie,1001.0,140.17090909090908,50.0,27.0,0.173015873015873,0.04976527777777778,0.394,128.0,2.0,14.420270270270272,8.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
30,Silver Mine Subs,Meatballs - small,260.0,170.0,19.0,6.0,0.0,0.045,0.67,7.0,2.0,0.0,18.0,4.0,2.0,10.0,15.0
31,Golden Krust Caribbean Bakery & Grill,Sm Escoveitched Fish Meal,983.0,140.17090909090908,18.957317073170735,6.349375,0.173015873015873,0.04976527777777778,0.727865731707317,40.50595238095238,2.6653846153846152,14.420270270270272,14.825925925925928,36.53846153846154,13.128205128205128,13.675,12.894736842105264
32,Robeks,South Pacific Squeeze Smoothies 12 oz.,200.0,140.17090909090908,1.0,6.349375,0.173015873015873,0.04976527777777778,0.727865731707317,47.0,2.0,36.0,2.0,0.0,196.0,4.0,4.0
34,La Rosa's Pizzeria,Large Big 4 Pick 4 Hand Tossed Pizza,461.0,140.17090909090908,19.0,8.0,0.173015873015873,0.047,1.047,49.0,3.0,14.420270270270272,22.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
35,Cosi,CosÌÂ Break Bar å¨ - Whole,359.0,166.0,18.0,4.0,0.0,0.0,0.018,44.0,4.0,30.0,8.0,0.0,0.0,4.0,14.0
37,4food,Need It Sandwich,661.0,140.17090909090908,39.0,8.0,0.0,0.131,0.903,26.0,2.0,3.0,43.0,9.0,0.0,26.0,89.0
38,Boston's The Gourmet Pizza,Chipotle Chicken & Bacon Salad with 2 oz Honey Mustard,730.0,140.17090909090908,47.0,6.349375,0.173015873015873,0.04976527777777778,2.46,40.0,6.0,14.420270270270272,46.0,36.53846153846154,13.128205128205128,13.675,12.894736842105264
39,Whitespot Restaurants,The SpotÛªs Fish & Chips 2 piece with Tartar,533.0,140.17090909090908,40.2,6.2,0.4,0.1168,0.9286,10.8,0.0,0.0,30.4,2.0,0.0,2.0,3.0
